scorer,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000
bodyparts,nose,nose,nose,left paw,left paw,left paw,right paw,right paw,right paw,left hindpaw,left hindpaw,left hindpaw,right hindpaw,right hindpaw,right hindpaw,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
22,506.5926208496094,223.59896850585938,0.9999724626541138,497.4446716308594,185.32131958007812,0.9998815059661865,531.37109375,198.6648406982422,0.9999994039535522,497.90460205078125,153.4292755126953,0.9999998807907104,540.1968994140625,162.87710571289062,0.9999997615814209,525.3202514648438,134.06813049316406,0.9999991655349731
23,508.1387023925781,224.70059204101562,0.9999902248382568,499.87225341796875,197.25592041015625,0.9999978542327881,531.4620971679688,199.15054321289062,0.9999996423721313,498.0767517089844,153.90586853027344,0.9999998807907104,540.3035278320312,162.72300720214844,0.9999996423721313,524.6969604492188,134.81997680664062,0.999998927116394
24,512.1549072265625,227.89358520507812,0.999996542930603,503.7640380859375,204.6031951904297,0.9999933242797852,532.049560546875,198.91192626953125,0.9999997615814209,497.86895751953125,153.96604919433594,0.9999998807907104,540.4639282226562,162.8271026611328,0.9999996423721313,524.3906860351562,135.44712829589844,0.999998927116394
25,511.8009033203125,231.57174682617188,0.9999861717224121,506.8675537109375,209.79818725585938,0.9999864101409912,532.7286376953125,198.59251403808594,0.9999998807907104,497.8457946777344,153.86212158203125,0.9999998807907104,540.8924560546875,162.75848388671875,0.9999996423721313,524.4346313476562,136.51202392578125,0.9999985694885254
26,512.911865234375,235.28436279296875,0.999901294708252,507.8848571777344,213.34805297851562,0.9999871253967285,533.3580322265625,198.43475341796875,0.9999998807907104,497.7010498046875,154.04922485351562,0.9999997615814209,540.8173828125,162.94749450683594,0.9999997615814209,523.7077026367188,137.9789581298828,0.9999972581863403
27,510.9604187011719,237.0736846923828,0.9996683597564697,507.57489013671875,217.32098388671875,0.9999514818191528,533.31494140625,198.90182495117188,0.9999996423721313,497.432861328125,154.24407958984375,0.9999996423721313,540.7568359375,163.99249267578125,0.9999997615814209,523.3392944335938,141.35186767578125,0.9999986886978149
28,511.95556640625,240.365234375,0.9992365837097168,506.8065185546875,216.47364807128906,0.9999755620956421,533.3280639648438,198.98304748535156,0.9999995231628418,497.6978759765625,154.63746643066406,0.9999995231628418,541.7042236328125,167.1764373779297,0.9999991655349731,524.2882080078125,144.55587768554688,0.9999992847442627
29,511.75030517578125,241.39434814453125,0.9950246214866638,506.39886474609375,216.81378173828125,0.9999867677688599,532.7838745117188,199.4664306640625,0.9999990463256836,497.74713134765625,154.94949340820312,0.9999994039535522,543.239013671875,175.44078063964844,0.999997615814209,524.2277221679688,145.8468780517578,0.9999995231628418
30,511.2144470214844,236.58901977539062,0.1596130132675171,506.3865966796875,217.31300354003906,0.9999847412109375,532.0786743164062,199.7686309814453,0.9999964237213135,497.75299072265625,155.2599334716797,0.9999990463256836,541.6600341796875,181.4763641357422,0.9999994039535522,523.6275024414062,148.4646759033203,0.9999996423721313
31,512.093505859375,235.81216430664062,0.018800683319568634,506.4630126953125,217.92022705078125,0.9999754428863525,532.2310180664062,200.97042846679688,0.9999985694885254,497.5497741699219,155.2981414794922,0.999998927116394,542.0369873046875,181.02964782714844,0.9999994039535522,523.001953125,149.28929138183594,0.9999996423721313
